model,nn_info_unit,hardware,is_autoregressive,evaluate_all_bits,num_bytes,target_bits,seqlen,step,train_ratio,learning_rate,batch_size,epochs,corr_intensity,autocorrelation_function,distance_scale_p,exponential_decay_rate,gaussian_sigma,p_c_source,min_entropy_th,distillation_mode,entropy_non_iid_nist,entropy_iid_nist,Bitstring MultiMCW_pglobal,Bitstring MultiMCW_plocal,Bitstring MultiMCW_min_entropy,Literal MultiMCW_pglobal,Literal MultiMCW_plocal,Literal MultiMCW_min_entropy,Bitstring Lag_pglobal,Bitstring Lag_plocal,Bitstring Lag_min_entropy,Literal Lag_pglobal,Literal Lag_plocal,Literal Lag_min_entropy,Bitstring MultiMMC_pglobal,Bitstring MultiMMC_plocal,Bitstring MultiMMC_min_entropy,Literal MultiMMC_pglobal,Literal MultiMMC_plocal,Literal MultiMMC_min_entropy,Bitstring LZ78Y_pglobal,Bitstring LZ78Y_plocal,Bitstring LZ78Y_min_entropy,Literal LZ78Y_pglobal,Literal LZ78Y_plocal,Literal LZ78Y_min_entropy, VAD_tau_start, VAD_tau_end, VAD_tau_progression,training_time,teacher_training_time,distillation_training_time,distillation_strategy,total_parameters,trainable_parameters,non_trainable_parameters,total_train_samples,training_data_size,steps_per_epoch,validation_steps,evaluation_time,p_ml,p_g,p_c_pred,p_e,bin_cross-entropy_loss,bytes_processed_eval,min_entropy_estimated,teacher_p_ml,teacher_ce_loss
nanogpt,bit,MX110,False,False,100000,6,100,100,0.8,0.0005,,1,0.500,constant,10,-,-,0.5021375,0.4150374992788438,rad,3.298664,5.535381,0.5394544401206194,0.7315865184116563,0.4509,0.021565064597493255,0.10162561004502398,0.412333,0.5461585929640058,0.7270542487105053,0.459865,0.010914580056694361,0.06900433820410433,0.482146125,0.5843152150469638,0.7315854303611806,0.450902,0.02714313743222139,0.10161660559176365,0.412349,0.5471330176489535,0.7270545376102409,0.459865,0.027116471421595588,0.1016188192168518,0.412345,-,-,-,12.39,1.7264748111667965,10.662410623283359,RADStrategy,2411776,2411776,0,799,79900,799,199,0.07,0.03957286432160804,0.015625,1.0,0.0,11.149386717446486,100000,0.7765574495072888,0.05841708542713568,4.035404404204096
nanogpt,bit,MX110,False,False,100000,1,100,100,0.8,0.0005,,1,0.500,constant,10,-,-,0.50265,0.4150374992788438,rad,3.926701,5.557556,0.5416128724450614,0.6197200325349965,0.690311,0.021153693441548996,0.040184325022297476,0.579652875,0.5471370882527451,0.5714845823110193,0.807214,0.011777038616426991,0.017885822760345206,0.72563,0.5831994989556297,0.6197186575869565,0.690315,0.027030454868583836,0.040179379644727134,0.579675125,0.5461957429725449,0.6109042758699886,0.710982,0.027024261858378515,0.040180595384485325,0.579669625,-,-,-,12.36,1.7715377755337007,10.591299370133978,RADStrategy,2395904,2395904,0,799,79900,799,199,0.07,0.4975314070351759,0.5,1.0,0.0,4.439402670117479,100000,1.0071404951733285,0.5769221105527638,0.6753173922773582
nanogpt,bit,MX110,False,False,100000,2,100,100,0.8,0.0005,,1,0.500,constant,10,-,-,0.5018750000000001,0.4150374992788438,rad,3.819172,5.558953,0.5400905993077106,0.6362695803479008,0.65229,0.02093767623790556,-,0.697219375,0.5460173792619126,0.6281662738939958,0.670782,0.011777038616426991,0.017885822760345206,0.72563,0.5826297687063665,0.6440443501233486,0.634768,0.026180010884660713,0.040179379644727134,0.579675125,0.5459120601602341,0.6362685710191811,0.652292,0.026142935506611332,0.040180595384485325,0.579669625,-,-,-,12.20,1.6987710385331107,10.50214484356693,RADStrategy,2396416,2396416,0,799,79900,799,199,0.07,0.2770100502512563,0.25,1.0,0.0,7.294674401307226,100000,0.9259948874930641,0.3574120603015075,1.3514785712687813
nanogpt,bit,MX110,False,False,100000,3,100,100,0.8,0.0005,,1,0.500,constant,10,-,-,0.5005375,0.4150374992788438,rad,3.861066,5.50949,0.539776894383759,0.6586928083098996,0.602322,0.02240801817346239,0.040184325022297476,0.579652875,0.5475919679405966,0.6515130413614965,0.618134,0.011777038616426991,0.017885822760345206,0.72563,0.5835718216181817,0.6586915226800922,0.602325,0.028167246167451466,0.040179379644727134,0.579675125,0.5477166247577031,0.6515133831095973,0.618133,0.02816122905759495,0.040180595384485325,0.579669625,-,-,-,12.37,1.6733002362006422,10.699181622216322,RADStrategy,2397440,2397440,0,799,79900,799,199,0.07,0.15891959798994976,0.125,1.0,0.0,8.488077434463118,100000,0.8845436819497796,0.20854271356783918,2.028439430735219
nanogpt,bit,MX110,False,False,100000,4,100,100,0.8,0.0005,,1,0.500,constant,10,-,-,0.5002,0.4150374992788438,rad,4.021396,5.513547,0.5395731733498339,0.6109053267302005,0.710979,0.02161647780820751,-,0.691465625,0.5463322981548371,0.5714845823110193,0.807214,0.012244105154404472,0.017885822760345206,0.72563,0.5827359685716239,0.6197186575869565,0.690315,0.027450422284947817,0.040179379644727134,0.579675125,0.5467731047794063,0.6109042758699886,0.710982,0.027434050615102647,0.040180595384485325,0.579669625,-,-,-,12.29,1.6725966372992844,10.620959344750736,RADStrategy,2399488,2399488,0,799,79900,799,199,0.07,0.10050251256281408,0.0625,1.0,0.0,9.458331381256256,100000,0.8286741314140716,0.12625628140703518,2.70314545966872
nanogpt,bit,MX110,False,False,100000,5,100,100,0.8,0.0005,,1,0.500,constant,10,-,-,0.504925,0.4150374992788438,rad,3.789274,5.574417,0.5395419277711437,0.6440456706866828,0.634765,0.021421097993217616,-,0.693103,0.5457137069245268,0.6197186350477603,0.690315,0.011268036816276961,0.017885822760345206,0.72563,0.5835580781789941,0.6586915226800922,0.602325,0.026671877969696372,0.040179379644727134,0.579675125,0.5460182850568186,0.6722406896115576,0.57295,0.026716866507224726,0.040180595384485325,0.579669625,-,-,-,12.48,1.6754546323170265,10.800269693083829,RADStrategy,2403584,2403584,0,799,79900,799,199,0.07,0.06155778894472362,0.03125,1.0,0.0,9.43933967130268,100000,0.804382955285688,0.09233668341708542,3.3705443401432515
nanogpt,bit,MX110,False,False,100000,6,100,100,0.8,0.0005,,1,0.500,constant,10,-,-,0.5010875,0.4150374992788438,rad,3.819172,5.556858,0.5379134003554676,0.6440456706866828,0.634765,0.020927388878845214,0.06901156088204523,0.48212725,0.5467509394382307,0.6786394512869075,0.559283,0.011870480575488371,0.04017929860321156,0.5796755,0.5823124181174878,0.7020254272566032,0.510405,0.02698947785454466,0.06900445465729863,0.482145875,0.5462369831660941,0.6964882303545208,0.521829,0.026962786508293632,0.06900620161884354,0.48214125,-,-,-,12.42,1.6914264491002542,10.729503931166255,RADStrategy,2411776,2411776,0,799,79900,799,199,0.08,0.035804020100502515,0.015625,1.0,0.0,11.147767364080227,100000,0.8006224343964846,0.06281407035175879,4.050121421190961
nanogpt,bit,MX110,False,False,100000,1,100,100,0.8,0.0005,,1,0.500,constant,10,-,-,0.5030875,0.4150374992788438,rad,3.920237,5.513547,0.5401930844576693,0.6362695803479008,0.65229,0.021842674675527005,-,0.689588375,0.5464610148373892,0.6016990337076356,0.732886,0.01143429115505393,0.017885822760345206,0.72563,0.5833969050347645,0.6197186575869565,0.690315,0.026610401244878706,0.040179379644727134,0.579675125,0.5467168683252625,0.6281666297075782,0.670781,0.026614390989184347,0.040180595384485325,0.579669625,-,-,-,12.48,1.787200090533588,10.697249376016165,RADStrategy,2395904,2395904,0,799,79900,799,199,0.07,0.4956972361809045,0.5,1.0,0.0,4.704488005470391,100000,1.0124688799750656,0.5729899497487437,0.6781041762936655
nanogpt,bit,MX110,False,False,100000,2,100,100,0.8,0.0005,,1,0.500,constant,10,-,-,0.50185,0.4150374992788438,rad,3.922303,5.516258,0.5386445523294161,0.6109053267302005,0.710979,0.020947963521544627,-,0.69713075,0.5458561705571796,0.6016990337076356,0.732886,0.011268036816276961,0.017885822760345206,0.72563,0.5833719169364183,0.6109039332117927,0.710983,0.02720459804727772,-,0.65000075,0.5469768055588307,0.6109042758699886,0.710982,0.027239411076491183,-,0.649770125,-,-,-,12.46,1.6950462252328482,10.762453385199963,RADStrategy,2396416,2396416,0,799,79900,799,199,0.07,0.2600502512562814,0.25,1.0,0.0,5.593034051770541,100000,0.9715688315221618,0.3479899497487437,1.3503948360232252
nanogpt,bit,MX110,False,False,100000,3,100,100,0.8,0.0005,,1,0.500,constant,10,-,-,0.5048,0.4150374992788438,rad,4.051024,5.466922,0.5398106395624045,0.6109053267302005,0.710979,0.022747124908530307,-,0.6822715,0.5463835349041306,0.5714845823110193,0.807214,0.011673196997866885,0.017885822760345206,0.72563,0.5830683112419708,0.6109039332117927,0.710983,0.02780886433022484,-,0.646038875,0.5469343158456836,0.6016994041241702,0.732885,0.02780279180307102,-,0.64607825,-,-,-,12.49,1.7008519758829304,10.793732327983404,RADStrategy,2397440,2397440,0,799,79900,799,199,0.07,0.1564070351758794,0.125,1.0,0.0,8.083027199884157,100000,0.8922075628251892,0.21482412060301506,2.030935771501244
